text,tweet_translated,labels
"Happy th birthday to the @USNavy! The strength, dedication, and skill of our Sailors including those at Portsmouth Naval Shipyard help keep this country safe, secure, and free. Today we recognize and celebrate their incredible service. #246NavyBirthday https://t.co/GuHEDMApke","incredible Selamat ulang free. tahun @USNavy! Kekuatan, dedikasi, dn keterampilan Sailors the and kita termasuk mereka di help Portsmouth Naval their Shipyard membantu menjaga negara Portsmouth Sailors ini aman, aman, dan bebas. hari ini kita mengakui dn merayakan layanan luar biasa mereka. 2446 Happy NavyBirthday https://t.co/GuHEDMAp",1
The greatest generation's investment in infrastructure made us the envy of the world. But now we've gone almost an entire lifetime without making any significant investments in the NEXT generation of American infrastructure. It's time for that to change. https://t.co/brikl79Kgp,Investasi https://t.co/brikl79Kgp world. terbesar generasi dalam infrastruktur almost membuat kita iri pada dunia. tapi made generation sekarang kita sudah hampir seumur hidup tanpa membuat investasi yg investment signifikan dalam The the infrastruktur Amerika now NEXT. saatnya untuk itu berubah. the https://t.co/brikl79Kgp,1
"Thanks to @SenTedCruz and  @SenatorWarnock, the Infrastructure Investment and Jobs Act authorizes the Interstate East-West corridor across TX, LA, MS, AL, and GA. Working together to deliver real infrastructure!","Berkat @SenTedCruz dn @SenatorWarnock, Undang-Undang TX, Infrastructural GA. Infrastructment dn Investment Jobs mengotorisasi koridor antarnegara Interstate Timur-Barat @SenTedCruz di TX, LA, Infrastructure MS, AL, and dan GA. Bekerja sama untuk mengirimkan infrastruktur nyata!",0
"/ To get lasting change we cant just lock up those convicted of these crimes, but must also work to combat bias and  bigotry. The NO HATE Act would allow courts to implement alternative sentencingrequiring people to do educational training/community service to counter their hate.","Untuk mendapatkan their perubahan yg also abadi kita work tdk bisa hanya would mengunci mereka / yang dihukum alternative kejahatan, tetapi lasting juga bigotry. musti bekerja untuk memerangi of convicted prasangka dan must fanatisme.",1
Today were celebrating years of the Hoosier state. Happy birthday Indiana! https://t.co/gjzh3dHnIb,Hari Happy ini state. adalah perayaan tahun negara Hoosier Selamat were ulang tahun Indiana! https://t.co/gjzh3dHnIb,0
"The #ForthePeopleAct includes reforms that are popular with Americans no matter what party theyre from: Expanded early voting Automatic voter registration Public disclosure of campaign contributions So, lets get it done.","reforms The #Forthe People Acts inclute reforms that are popular get voting with Americans no matter what party theyre from: from: Expanded early voting automatict #ForthePeopleAct Public discoversitions of campaign contribusis So, lets what get it done. done.",1
"Todays strong, bipartisan vote is just the beginningI'm going to continue fighting for more investments necessary to meet our nations challenges.","Hari ini kuat, beginningI'm suara bipartisan hanya permulaan challenges. Aku nations akan terus berjuang untuk the investasi yang for lebih diperlukan untuk memenuhi tantangan negara kita.",1
"Supporting crime victims requires holding crime perpetrators accountable.Yet the Biden Admin is preventing ICE from deporting thousands of criminal illegal aliens. This morning, the Senate adopted my amendment to give ICE the resources it needs. https://t.co/KLZzACmDs3","Mendukung crime holding korban kejahatan mengharuskan pelaku kejahatan bertanggung jawab. amendment Namun Biden Admin mencegah to ICE dari mendeportasi ribuan needs. from alien ilegal my kriminal pagi ini, https://t.co/KLZzACmDs3 Senat mengadopsi amandemenku untuk memberikan Supporting ICE sumber daya yg dibutuhkan.",0
"We in Louisiana know how natural disasters change lives. If theres anyway Louisiana can help, we will. I will support Federal relief. Our hearts are with Kentucky.","Kita di know Louisiana tahu gimana in bencana alam hearts mengubah kehidupan jika ada Louisiana yang bisa Louisiana membantu, how Federal kita bakal mendukung bantuan Federal hati kita dengan Kentucky.",0
Today we start anew.,Hari Today ini kita mulai lagi.,1
"Ill be back with more grievances, more waste, more holiday cheer in a little while. In the meantime, I hope you all are airing your grievances as well. Let it out! #Festivus","it little cheer Aku bakal kembali I dengan lebih banyak keluhan, lebih banyak limbah, lebih banyak with liburan bersorak dalam beberapa in saat sementara itu, saya harap Anda semua ditayangkan a more keluhan Anda juga.",0
