tweet,label
"Forget about protecting the people and communities like the ones Cuellar is supposed to represent. 

#IRA doesn't mandate lower emissions. It's about once again giving oil and gas industries a handout so they can continue to pollute our air, water, and land. 

#greenwashing",1
"Are you with an #environmentalnonprofit leading the way on #IRA issues? Join 
 and grow your support for the important work ahead: #InflationReductionAct",0
"Curious if #IRA can help you electrify your house? 
 has an INCREDIBLE calculator and a bunch of handy guides",1
"Learn more from 
 on how huge investments from the #IRA & #InfrastructureBill help move the U.S. forward on the path to a range of technology transitions that could transform our economy to a #CleanEnergy future 

#greenintersects",0
"Almost a year since this Vox video on grid challenges & choices dropped. With #IRA $$, deserves a fresh look. Following my curtain raiser on sources of energy friction impeding climate action , I'm planning a transmission webcast and post. 1/",1
"Whether it’s a downturn in the market or planning to cut your heirs’ #tax bill, there are many reasons a #RothIRA conversion might make sense for you. Here are five of the best.

#IRA #Taxes #FinancialPlanning #Wealth #Legacy #PersonalFinance #Finance",1
"Couldn’t agree more with ⁦
⁩ on last weeks podcast. What’s the point of preparing our infrastructure and planet for the future if we are not providing kids with basic care and education? No child tax credit and no universal prek? #ira",0
"Read this op-ed on the passage of the #IRA from a WV Catholic. ""In many ways, the ambitious climate and health package was the easy part. The hard part will be living in this new world with a greater sense of togetherness, as one human family.""",0
"With the fall of Roe, you need to know who you support. 

A local candidate for Mayor- Anne Bannister - is endorsing Stephen Ranzini, a Trump donor with a noted anti-abortion history. 

Here he is in 2004, appeasing an anti abortion activist, Andrew Shirvell. #a2council",0
"NEW CLINIC TARGETED - THE CORNER CLINIC, DUNDEE 

We’ve received confirmation this morning that The Corner in Dundee is being targeted by anti-abortion protestors handing out graphic, medically inaccurate leaflets.

Our DMs are open for anyone w more info/experiences",1
"#DemVoice1- Mr. President, are you serious? You're
nominating an anti-abortion Republican to be a lifetime federal judge, 5 days after you vowed to protect abortion rights?",1
"Google's post-Roe response has been wholly insufficient. Google has:

Disregarded the vulnerability of TVC's
Continued financial support of anti-abortion politicians
Refused to establish privacy protocols to protect Google users seeking abortion access info

Our statement",1
"Biden may nominate a conservative, anti-abortion lawyer for a lifetime judgeship in Kentucky as part of a deal with McConnell. In return, McConnell would agree to not hold up any future federal nominations by Biden.

Here Charlie Brown, let me hold the football for you.",0
"Mike Pence’s political group is contributing $500,000 to a digital ad campaign that spreads anti-abortion propaganda. Run by Susan B Anthony List.

Pence has previously called for a nationwide abortion ban.",0
".
 on #Biden nominating an anti #abortion #republican for federal judgeship: 

""F the Democrats. F Biden. I do not support him. I will not vote for him.he is not our friend.""

""Even when Democrats are in charge, they let the Republican party take over."" 

#tytlive",1
"Beyond being deeply immoral, so many of the anti-abortion laws are just terrible policy. Most of the bills were intended to be symbolic so implementation and enforcement were never really considered.",1
"My definition of life is based on scientific doctrine, but if you want to call me anti-abortion rather than pro-life, go for it.",0
".
 looks at the anti-abortion rights movement, their years long strategy to pull off the overturn of Roe v. Wade, what’s next on their agenda, and how this will affect the millions of people at the center of this issue.

#VICENewsTonight, 11pm ET on",0
"With Roe v. Wade overturned, anti-abortion lawmakers are turning their attention to the next target: birth control — in particular, emergency contraception and intrauterine devices.",0
"Considering the courts are what just ended federal protections to abortion, a couple important takeaways:

1) POTUS, maybe let’s not appoint anti-abortion lawyers to be judges?

2) Senators, vote NO on Chad Meredith’s appointment.",1
"Pres. Joe Biden plans to nominate Chad Meredith, an anti-abortion Republican lawyer, to the US District Court for the Eastern District of Kentucky as part of a deal between Biden & Senator Mitch McConnell.

Where’s the faux outrage from resistance libs?",1
